description	tn5	replicate	sequencing_run	pcr_cycles	library	cluster_density
GM12878_ATAC_5X_rep1	5X	rep1	1830	12	81978___1830	low
GM12878_ATAC_2X_rep1	2X	rep1	1830	14	81979___1830	low
GM12878_ATAC_1-5X_rep1	1.5X	rep1	1830	14	81980___1830	low
GM12878_ATAC_1X_rep1	1X	rep1	1830	15	81981___1830	low
GM12878_ATAC_0-66X_rep1	0.66X	rep1	1830	15	81982___1830	low
GM12878_ATAC_0-5X_rep1	0.5X	rep1	1830	16	81983___1830	low
GM12878_ATAC_0-2X_rep1	0.2X	rep1	1830	18	81984___1830	low
GM12878_ATAC_5X_rep2	5X	rep2	1830	13	81985___1830	low
GM12878_ATAC_2X_rep2	2X	rep2	1830	15	81986___1830	low
GM12878_ATAC_1-5X_rep2	1.5X	rep2	1830	14	81987___1830	low
GM12878_ATAC_1X_rep2	1X	rep2	1830	16	81988___1830	low
GM12878_ATAC_0-66X_rep2	0.66X	rep2	1830	16	81989___1830	low
GM12878_ATAC_0-5X_rep2	0.5X	rep2	1830	16	81990___1830	low
GM12878_ATAC_0-2X_rep2	0.2X	rep2	1830	18	81991___1830	low
GM12878_ATAC_5X_rep3	5X	rep3	1830	12	81992___1830	low
GM12878_ATAC_2X_rep3	2X	rep3	1830	14	81993___1830	low
GM12878_ATAC_1-5X_rep3	1.5X	rep3	1830	15	81994___1830	low
GM12878_ATAC_1X_rep3	1X	rep3	1830	15	81995___1830	low
GM12878_ATAC_0-66X_rep3	0.66X	rep3	1830	16	81996___1830	low
GM12878_ATAC_0-5X_rep3	0.5X	rep3	1830	16	81997___1830	low
GM12878_ATAC_0-2X_rep3	0.2X	rep3	1830	18	81998___1830	low
GM12878_ATAC_5X_rep1	5X	rep1	1833	12	81978___1833	high
GM12878_ATAC_2X_rep1	2X	rep1	1833	14	81979___1833	high
GM12878_ATAC_1-5X_rep1	1.5X	rep1	1833	14	81980___1833	high
GM12878_ATAC_1X_rep1	1X	rep1	1833	15	81981___1833	high
GM12878_ATAC_0-66X_rep1	0.66X	rep1	1833	15	81982___1833	high
GM12878_ATAC_0-5X_rep1	0.5X	rep1	1833	16	81983___1833	high
GM12878_ATAC_0-2X_rep1	0.2X	rep1	1833	18	81984___1833	high
GM12878_ATAC_5X_rep2	5X	rep2	1833	13	81985___1833	high
GM12878_ATAC_2X_rep2	2X	rep2	1833	15	81986___1833	high
GM12878_ATAC_1-5X_rep2	1.5X	rep2	1833	14	81987___1833	high
GM12878_ATAC_1X_rep2	1X	rep2	1833	16	81988___1833	high
GM12878_ATAC_0-66X_rep2	0.66X	rep2	1833	16	81989___1833	high
GM12878_ATAC_0-5X_rep2	0.5X	rep2	1833	16	81990___1833	high
GM12878_ATAC_0-2X_rep2	0.2X	rep2	1833	18	81991___1833	high
GM12878_ATAC_5X_rep3	5X	rep3	1833	12	81992___1833	high
GM12878_ATAC_2X_rep3	2X	rep3	1833	14	81993___1833	high
GM12878_ATAC_1-5X_rep3	1.5X	rep3	1833	15	81994___1833	high
GM12878_ATAC_1X_rep3	1X	rep3	1833	15	81995___1833	high
GM12878_ATAC_0-66X_rep3	0.66X	rep3	1833	16	81996___1833	high
GM12878_ATAC_0-5X_rep3	0.5X	rep3	1833	16	81997___1833	high
GM12878_ATAC_0-2X_rep3	0.2X	rep3	1833	18	81998___1833	high
