Raw RLU																																
																																
	A1	A2	A4	A5	B1	B2	B4	B5	C1	C2	C4	C5	D1	D2	D4	D5	E1	E2	E4	E5	F1	F2	F4	F5	G1	G2	G4	G5	H1	H2	H4	H5
Cycle	5X (rep.1)	5X (rep.2)	5X (rep.3)	5X (rep.4)	2X (rep.1)	2X (rep.2)	2X (rep.3)	2X (rep.4)	1.5X (rep.1)	1.5X (rep.2)	1.5X (rep.3)	1.5X (rep.4)	1X (rep.1)	1X (rep.2)	1X (rep.3)	1X (rep.4)	2/3X (rep.1)	2/3X (rep.2)	2/3X (rep.3)	2/3X (rep.4)	1/2X (rep.1)	1/2X (rep.2)	1/2X (rep.3)	1/2X (rep.4)	1/5X (rep.1)	1/5X (rep.2)	1/5X (rep.3)	1/5X (rep.4)	No cell ctrl (rep.1)	No cell ctrl (rep.2)	No cell ctrl (rep.3)	No cell ctrl (rep.4)
1	0.0925	0.0543	0.0670	0.0416	0.0318	0.0302	0.0282	0.0296	0.0167	0.0158	0.0132	0.0392	0.0095	0.0068	0.0019	0.0075	0.0060	0.0058	0.0048	0.0036	0.0006	0.0045	0.0015	0.0020	0.0029	0.0000	0.0025	0.0003	0.0106	0.0028	0.0005	0.0006
2	0.1132	0.0643	0.0777	0.0474	0.0377	0.0350	0.0399	0.0358	0.0199	0.0237	0.0164	0.0537	0.0148	0.0077	0.0040	0.0098	0.0076	0.0080	0.0066	0.0069	0.0021	0.0071	0.0037	0.0044	0.0043	0.0014	0.0052	0.0012	0.0085	0.0023	0.0019	0.0027
3	0.1452	0.0814	0.0962	0.0591	0.0471	0.0439	0.0534	0.0437	0.0254	0.0328	0.0200	0.0778	0.0193	0.0109	0.0059	0.0135	0.0122	0.0109	0.0096	0.0107	0.0046	0.0092	0.0060	0.0068	0.0063	0.0042	0.0070	0.0045	0.0117	0.0032	0.0034	0.0063
4	0.1933	0.1070	0.1266	0.0773	0.0609	0.0575	0.0693	0.0582	0.0336	0.0432	0.0276	0.1086	0.0251	0.0139	0.0077	0.0180	0.0139	0.0141	0.0122	0.0140	0.0048	0.0125	0.0065	0.0078	0.0079	0.0037	0.0104	0.0040	0.0172	0.0039	0.0045	0.0079
5	0.2687	0.1521	0.1826	0.1116	0.0890	0.0826	0.0962	0.0837	0.0472	0.0577	0.0381	0.1320	0.0354	0.0189	0.0100	0.0238	0.0197	0.0194	0.0164	0.0175	0.0062	0.0169	0.0097	0.0112	0.0107	0.0050	0.0125	0.0048	0.0204	0.0057	0.0051	0.0081
6	0.3970	0.2314	0.2789	0.1756	0.1369	0.1267	0.1403	0.1325	0.0714	0.0809	0.0581	0.1644	0.0551	0.0317	0.0150	0.0364	0.0296	0.0291	0.0223	0.0258	0.0066	0.0251	0.0150	0.0165	0.0139	0.0071	0.0137	0.0060	0.0246	0.0054	0.0062	0.0082
7	0.5439	0.3589	0.4520	0.2902	0.2179	0.2054	0.2207	0.2139	0.1167	0.1194	0.0929	0.2092	0.0900	0.0532	0.0238	0.0591	0.0453	0.0479	0.0341	0.0435	0.0066	0.0398	0.0251	0.0282	0.0198	0.0114	0.0183	0.0094	0.0254	0.0060	0.0071	0.0099
8	0.7010	0.5353	0.6436	0.4618	0.3423	0.3362	0.3462	0.3450	0.1935	0.1814	0.1538	0.2733	0.1546	0.0906	0.0390	0.1003	0.0804	0.0806	0.0559	0.0730	0.0087	0.0663	0.0448	0.0490	0.0306	0.0184	0.0270	0.0136	0.0258	0.0060	0.0067	0.0107
9	0.8388	0.7034	0.8355	0.6728	0.4993	0.5337	0.5203	0.5340	0.3113	0.2763	0.2539	0.3757	0.2551	0.1571	0.0688	0.1727	0.1391	0.1403	0.0964	0.1270	0.0082	0.1145	0.0826	0.0904	0.0509	0.0304	0.0418	0.0242	0.0281	0.0066	0.0069	0.0122
10	0.9365	0.8433	0.9889	0.8593	0.6405	0.7290	0.6862	0.7166	0.4615	0.3935	0.3926	0.4958	0.3973	0.2605	0.1180	0.2764	0.2356	0.2355	0.1639	0.2202	0.0097	0.1970	0.1491	0.1600	0.0868	0.0541	0.0700	0.0404	0.0281	0.0078	0.0070	0.0129
11	0.9922	0.9340	1.0839	0.9977	0.7495	0.8998	0.8239	0.8711	0.5975	0.5022	0.5322	0.6287	0.5449	0.3946	0.2017	0.4138	0.3774	0.3719	0.2720	0.3590	0.0108	0.3268	0.2682	0.2777	0.1551	0.0984	0.1232	0.0728	0.0337	0.0090	0.0078	0.0141
12	1.0163	0.9770	1.1302	1.0781	0.8159	1.0171	0.9156	0.9742	0.7031	0.5866	0.6469	0.7527	0.6659	0.5129	0.3216	0.5344	0.5308	0.5138	0.4082	0.5222	0.0124	0.4872	0.4599	0.4454	0.2669	0.1731	0.2112	0.1318	0.0384	0.0097	0.0092	0.0159
13	1.0233	0.9892	1.1453	1.1138	0.8470	1.0777	0.9629	1.0261	0.7666	0.6382	0.7238	0.8460	0.7452	0.6062	0.4533	0.6291	0.6617	0.6311	0.5347	0.6656	0.0165	0.6316	0.7251	0.6215	0.4323	0.3020	0.3515	0.2305	0.0497	0.0131	0.0107	0.0187
14	1.0228	0.9862	1.1468	1.1264	0.8577	1.0984	0.9832	1.0453	0.7953	0.6604	0.7648	0.9039	0.7850	0.6635	0.5649	0.6875	0.7535	0.7098	0.6339	0.7719	0.0207	0.7431	0.9755	0.7680	0.6127	0.4784	0.5296	0.3757	0.0623	0.0170	0.0116	0.0209
15	1.0200	0.9795	1.1434	1.1280	0.8595	1.0979	0.9901	1.0489	0.8031	0.6670	0.7819	0.9321	0.7969	0.6868	0.6444	0.7171	0.8038	0.7497	0.6936	0.8340	0.0251	0.8105	1.1821	0.8676	0.7673	0.6604	0.6909	0.5388	0.0809	0.0195	0.0135	0.0239
16	1.0168	0.9730	1.1392	1.1265	0.8593	1.0904	0.9932	1.0479	0.8021	0.6677	0.7872	0.9426	0.7965	0.6905	0.6895	0.7298	0.8235	0.7634	0.7213	0.8631	0.0347	0.8420	1.3168	0.9214	0.8771	0.8117	0.8162	0.6788	0.1118	0.0227	0.0134	0.0256
17	1.0142	0.9689	1.1356	1.1241	0.8593	1.0832	0.9955	1.0456	0.7990	0.6670	0.7884	0.9453	0.7909	0.6864	0.7098	0.7361	0.8276	0.7633	0.7298	0.8745	0.0516	0.8512	1.3840	0.9448	0.9386	0.9135	0.8920	0.7785	0.1632	0.0259	0.0146	0.0270
18	1.0126	0.9662	1.1328	1.1207	0.8598	1.0784	0.9986	1.0440	0.7969	0.6673	0.7891	0.9453	0.7867	0.6831	0.7156	0.7396	0.8266	0.7589	0.7310	0.8791	0.0827	0.8512	1.4074	0.9534	0.9651	0.9665	0.9262	0.8342	0.2579	0.0326	0.0169	0.0298
19	1.0112	0.9649	1.1308	1.1177	0.8608	1.0760	1.0026	1.0424	0.7963	0.6685	0.7906	0.9451	0.7835	0.6817	0.7168	0.7424	0.8248	0.7544	0.7296	0.8807	0.1378	0.8482	1.4103	0.9568	0.9740	0.9850	0.9359	0.8587	0.4220	0.0434	0.0180	0.0314
20	1.0100	0.9644	1.1292	1.1150	0.8618	1.0742	1.0070	1.0409	0.7970	0.6703	0.7927	0.9444	0.7819	0.6814	0.7164	0.7444	0.8234	0.7512	0.7284	0.8813	0.2305	0.8458	1.4070	0.9590	0.9766	0.9875	0.9359	0.8692	0.6798	0.0638	0.0221	0.0359
																																
Max	1.0233	0.9892	1.1468	1.1280	0.8598	1.0984	0.9986	1.0489	0.8031	0.6677	0.7891	0.9453	0.7969	0.6905	0.7156	0.7396	0.8276	0.7634	0.7310	0.8791	0.0827	0.8512	1.4074	0.9534	0.9651	0.9665	0.9262	0.8342	0.2579	0.0326	0.0169	0.0298
Norm. Max	0.9308	0.9349	1.0798	1.0864	0.8280	1.0682	0.9703	1.0194	0.7864	0.6519	0.7758	0.9061	0.7874	0.6837	0.7137	0.7321	0.8216	0.7576	0.7262	0.8755	0.0821	0.8467	1.4059	0.9514	0.9622	0.9665	0.9237	0.8339	0.2473	0.0298	0.0164	0.0292
																																
1/3 Norm. Max	0.3103	0.3116	0.3599	0.3621	0.2760	0.3561	0.3234	0.3398	0.2621	0.2173	0.2586	0.3020	0.2625	0.2279	0.2379	0.2440	0.2739	0.2525	0.2421	0.2918	0.0274	0.2822	0.4686	0.3171	0.3207	0.3222	0.3079	0.2780	0.0824	0.0099	0.0055	0.0097
																																
Normalized RLU																																
																																
	A1	A2	A4	A5	B1	B2	B4	B5	C1	C2	C4	C5	D1	D2	D4	D5	E1	E2	E4	E5	F1	F2	F4	F5	G1	G2	G4	G5	H1	H2	H4	H5
Cycle	5X (rep.1)	5X (rep.2)	5X (rep.3)	5X (rep.4)	2X (rep.1)	2X (rep.2)	2X (rep.3)	2X (rep.4)	1.5X (rep.1)	1.5X (rep.2)	1.5X (rep.3)	1.5X (rep.4)	1X (rep.1)	1X (rep.2)	1X (rep.3)	1X (rep.4)	2/3X (rep.1)	2/3X (rep.2)	2/3X (rep.3)	2/3X (rep.4)	1/2X (rep.1)	1/2X (rep.2)	1/2X (rep.3)	1/2X (rep.4)	1/5X (rep.1)	1/5X (rep.2)	1/5X (rep.3)	1/5X (rep.4)	No cell ctrl (rep.1)	No cell ctrl (rep.2)	No cell ctrl (rep.3)	No cell ctrl (rep.4)
1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	0.0207	0.0100	0.0107	0.0058	0.0059	0.0047	0.0117	0.0063	0.0032	0.0079	0.0031	0.0144	0.0053	0.0009	0.0022	0.0024	0.0016	0.0022	0.0018	0.0033	0.0015	0.0026	0.0022	0.0024	0.0014	0.0014	0.0027	0.0009	-0.0022	-0.0005	0.0015	0.0020
3	0.0526	0.0271	0.0291	0.0175	0.0152	0.0137	0.0251	0.0141	0.0087	0.0170	0.0067	0.0386	0.0099	0.0041	0.0040	0.0060	0.0062	0.0051	0.0048	0.0071	0.0041	0.0047	0.0045	0.0048	0.0035	0.0042	0.0045	0.0042	0.0011	0.0004	0.0029	0.0057
4	0.1008	0.0527	0.0596	0.0358	0.0291	0.0272	0.0410	0.0286	0.0169	0.0274	0.0144	0.0694	0.0157	0.0071	0.0059	0.0105	0.0079	0.0083	0.0073	0.0104	0.0042	0.0080	0.0050	0.0058	0.0051	0.0036	0.0079	0.0037	0.0065	0.0011	0.0040	0.0072
5	0.1762	0.0978	0.1155	0.0701	0.0572	0.0523	0.0680	0.0542	0.0305	0.0419	0.0249	0.0927	0.0259	0.0121	0.0081	0.0164	0.0137	0.0136	0.0116	0.0139	0.0057	0.0124	0.0082	0.0092	0.0079	0.0050	0.0099	0.0045	0.0098	0.0029	0.0047	0.0074
6	0.3045	0.1772	0.2119	0.1340	0.1050	0.0964	0.1121	0.1030	0.0548	0.0651	0.0448	0.1252	0.0456	0.0249	0.0131	0.0289	0.0236	0.0233	0.0175	0.0222	0.0060	0.0206	0.0135	0.0145	0.0111	0.0071	0.0112	0.0057	0.0140	0.0026	0.0058	0.0076
7	0.4514	0.3046	0.3850	0.2486	0.1860	0.1752	0.1925	0.1844	0.1001	0.1036	0.0796	0.1700	0.0805	0.0464	0.0220	0.0517	0.0394	0.0421	0.0293	0.0399	0.0060	0.0353	0.0236	0.0262	0.0169	0.0114	0.0158	0.0091	0.0147	0.0032	0.0067	0.0093
8	0.6085	0.4810	0.5766	0.4203	0.3105	0.3059	0.3180	0.3154	0.1769	0.1656	0.1405	0.2340	0.1452	0.0838	0.0372	0.0928	0.0744	0.0749	0.0511	0.0693	0.0082	0.0618	0.0433	0.0470	0.0277	0.0184	0.0244	0.0133	0.0152	0.0032	0.0062	0.0101
9	0.7463	0.6492	0.7685	0.6312	0.4674	0.5035	0.4920	0.5044	0.2946	0.2606	0.2406	0.3365	0.2456	0.1503	0.0669	0.1652	0.1331	0.1345	0.0916	0.1234	0.0077	0.1099	0.0811	0.0884	0.0480	0.0304	0.0392	0.0239	0.0175	0.0038	0.0064	0.0115
10	0.8439	0.7890	0.9219	0.8177	0.6087	0.6988	0.6579	0.6871	0.4448	0.3777	0.3794	0.4565	0.3878	0.2537	0.1161	0.2689	0.2296	0.2297	0.1590	0.2165	0.0091	0.1925	0.1476	0.1581	0.0839	0.0541	0.0675	0.0401	0.0175	0.0050	0.0065	0.0122
11	0.8996	0.8797	1.0169	0.9561	0.7177	0.8696	0.7957	0.8415	0.5808	0.4865	0.5189	0.5895	0.5354	0.3878	0.1998	0.4063	0.3714	0.3661	0.2672	0.3554	0.0103	0.3222	0.2666	0.2757	0.1523	0.0984	0.1207	0.0725	0.0230	0.0062	0.0073	0.0135
12	0.9237	0.9227	1.0631	1.0366	0.7840	0.9869	0.8874	0.9446	0.6864	0.5708	0.6337	0.7135	0.6564	0.5061	0.3197	0.5269	0.5249	0.5081	0.4034	0.5186	0.0119	0.4827	0.4584	0.4434	0.2641	0.1731	0.2087	0.1315	0.0278	0.0069	0.0087	0.0153
13	0.9308	0.9349	1.0783	1.0722	0.8152	1.0475	0.9346	0.9966	0.7499	0.6225	0.7106	0.8068	0.7357	0.5994	0.4514	0.6216	0.6557	0.6253	0.5299	0.6620	0.0159	0.6271	0.7236	0.6196	0.4295	0.3019	0.3489	0.2302	0.0391	0.0103	0.0102	0.0181
14	0.9302	0.9320	1.0798	1.0849	0.8259	1.0682	0.9550	1.0158	0.7786	0.6446	0.7516	0.8646	0.7755	0.6567	0.5630	0.6800	0.7475	0.7040	0.6291	0.7683	0.0202	0.7386	0.9739	0.7660	0.6099	0.4784	0.5271	0.3754	0.0516	0.0142	0.0112	0.0202
15	0.9275	0.9252	1.0764	1.0864	0.8277	1.0676	0.9618	1.0194	0.7864	0.6512	0.7686	0.8929	0.7874	0.6800	0.6426	0.7096	0.7978	0.7439	0.6888	0.8304	0.0246	0.8060	1.1806	0.8656	0.7644	0.6604	0.6883	0.5385	0.0702	0.0167	0.0130	0.0233
16	0.9243	0.9187	1.0722	1.0850	0.8275	1.0602	0.9650	1.0183	0.7854	0.6519	0.7739	0.9034	0.7870	0.6837	0.6877	0.7223	0.8175	0.7576	0.7165	0.8595	0.0341	0.8375	1.3153	0.9195	0.8743	0.8116	0.8137	0.6785	0.1011	0.0199	0.0130	0.0250
17	0.9216	0.9146	1.0686	1.0825	0.8275	1.0530	0.9673	1.0161	0.7823	0.6512	0.7751	0.9061	0.7814	0.6796	0.7079	0.7286	0.8216	0.7575	0.7250	0.8708	0.0510	0.8467	1.3824	0.9428	0.9358	0.9135	0.8894	0.7782	0.1525	0.0231	0.0141	0.0263
18	0.9200	0.9119	1.0658	1.0791	0.8280	1.0481	0.9703	1.0144	0.7802	0.6515	0.7758	0.9061	0.7772	0.6763	0.7137	0.7321	0.8206	0.7531	0.7262	0.8755	0.0821	0.8466	1.4059	0.9514	0.9622	0.9665	0.9237	0.8339	0.2473	0.0298	0.0164	0.0292
19	0.9187	0.9106	1.0638	1.0761	0.8289	1.0458	0.9743	1.0128	0.7797	0.6527	0.7774	0.9058	0.7740	0.6749	0.7149	0.7349	0.8188	0.7486	0.7248	0.8771	0.1373	0.8437	1.4088	0.9548	0.9711	0.9850	0.9333	0.8584	0.4114	0.0406	0.0175	0.0308
20	0.9175	0.9101	1.0622	1.0734	0.8300	1.0440	0.9787	1.0113	0.7803	0.6546	0.7795	0.9051	0.7724	0.6746	0.7146	0.7369	0.8174	0.7454	0.7236	0.8777	0.2300	0.8412	1.4055	0.9570	0.9737	0.9875	0.9334	0.8689	0.6691	0.0610	0.0217	0.0353
