run	spots	experiment	sample	organism	project	title	is_single_cell
SRR1556323	7741269	SRX685402	SRS688261	Homo sapiens	PRJNA259243	GSM1484783: Donor1_4hrsControl_Rep1; Homo sapiens; OTHER	FALSE
SRR1556324	8267091	SRX685403	SRS688262	Homo sapiens	PRJNA259243	GSM1484784: Donor1_4hrsControl_Rep2; Homo sapiens; OTHER	FALSE
SRR1556325	8086940	SRX685404	SRS688263	Homo sapiens	PRJNA259243	GSM1484785: Donor1_Day1_Rep1; Homo sapiens; OTHER	FALSE
SRR1556326	11267042	SRX685405	SRS688264	Homo sapiens	PRJNA259243	GSM1484786: Donor1_Day1_Rep2; Homo sapiens; OTHER	FALSE
SRR1556327	10828269	SRX685406	SRS688265	Homo sapiens	PRJNA259243	GSM1484787: Donor1_Day2_Rep1; Homo sapiens; OTHER	FALSE
SRR1556328	9167844	SRX685407	SRS688266	Homo sapiens	PRJNA259243	GSM1484788: Donor1_Day2_Rep2; Homo sapiens; OTHER	FALSE
SRR1556329	35605812	SRX685408	SRS688267	Homo sapiens	PRJNA259243	GSM1484789: Donor1_Day224_Rep1; Homo sapiens; OTHER	FALSE
SRR1556330	22600721	SRX685409	SRS688268	Homo sapiens	PRJNA259243	GSM1484790: Donor1_Day224_Rep2; Homo sapiens; OTHER	FALSE
SRR1556331	11611135	SRX685410	SRS688269	Homo sapiens	PRJNA259243	GSM1484791: Donor1_Day37_Rep1; Homo sapiens; OTHER	FALSE
SRR1556332	18819393	SRX685411	SRS688270	Homo sapiens	PRJNA259243	GSM1484792: Donor1_Day37_Rep2; Homo sapiens; OTHER	FALSE
SRR1556333	15880250	SRX685412	SRS688271	Homo sapiens	PRJNA259243	GSM1484793: Donor1_Day38_Rep1; Homo sapiens; OTHER	FALSE
SRR1556334	16915910	SRX685413	SRS688272	Homo sapiens	PRJNA259243	GSM1484794: Donor1_Day38_Rep2; Homo sapiens; OTHER	FALSE
SRR1556335	15802571	SRX685414	SRS688273	Homo sapiens	PRJNA259243	GSM1484795: Donor1_Day39_Rep1; Homo sapiens; OTHER	FALSE
SRR1556336	10643284	SRX685415	SRS688274	Homo sapiens	PRJNA259243	GSM1484796: Donor1_TCA0hrs_Rep1; Homo sapiens; OTHER	FALSE
SRR1556337	6243460	SRX685416	SRS688275	Homo sapiens	PRJNA259243	GSM1484797: Donor1_TCA0hrs_Rep2; Homo sapiens; OTHER	FALSE
SRR1556338	7852152	SRX685417	SRS688276	Homo sapiens	PRJNA259243	GSM1484798: Donor1_TCA1hrs_Rep1; Homo sapiens; OTHER	FALSE
SRR1556339	5471154	SRX685418	SRS688277	Homo sapiens	PRJNA259243	GSM1484799: Donor1_TCA1hrs_Rep2; Homo sapiens; OTHER	FALSE
SRR1556340	5932296	SRX685419	SRS688278	Homo sapiens	PRJNA259243	GSM1484800: Donor1_TCA2hrs_Rep1; Homo sapiens; OTHER	FALSE
SRR1556341	6485151	SRX685420	SRS688279	Homo sapiens	PRJNA259243	GSM1484801: Donor1_TCA2hrs_Rep2; Homo sapiens; OTHER	FALSE
SRR1556342	7806554	SRX685421	SRS688280	Homo sapiens	PRJNA259243	GSM1484802: Donor1_TCA4hrs_Rep1; Homo sapiens; OTHER	FALSE
SRR1556343	9997712	SRX685422	SRS688281	Homo sapiens	PRJNA259243	GSM1484803: Donor1_TCA4hrs_Rep2; Homo sapiens; OTHER	FALSE
SRR1556344	11658679	SRX685423	SRS688282	Homo sapiens	PRJNA259243	GSM1484804: Donor10_Day224_Rep1; Homo sapiens; OTHER	FALSE
SRR1556345	13633321	SRX685424	SRS688283	Homo sapiens	PRJNA259243	GSM1484805: Donor10_Day224_Rep2; Homo sapiens; OTHER	FALSE
SRR1556346	11719151	SRX685425	SRS688284	Homo sapiens	PRJNA259243	GSM1484806: Donor10_Day38_Rep1; Homo sapiens; OTHER	FALSE
SRR1556347	19549760	SRX685426	SRS688285	Homo sapiens	PRJNA259243	GSM1484807: Donor11_CTCL_Rep1; Homo sapiens; OTHER	FALSE
SRR1556348	10695424	SRX685427	SRS688286	Homo sapiens	PRJNA259243	GSM1484808: Donor11_CTCL_Rep2; Homo sapiens; OTHER	FALSE
SRR1556349	18592631	SRX685428	SRS688287	Homo sapiens	PRJNA259243	GSM1484809: Donor11_CTCL_Rep3; Homo sapiens; OTHER	FALSE
SRR1556350	27831136	SRX685429	SRS688288	Homo sapiens	PRJNA259243	GSM1484810: Donor11_CTCL_Rep4; Homo sapiens; OTHER	FALSE
SRR1556351	83206549	SRX685430	SRS688289	Homo sapiens	PRJNA259243	GSM1484811: Donor11_CTCL_Rep5; Homo sapiens; OTHER	FALSE
SRR1556352	47882928	SRX685431	SRS688290	Homo sapiens	PRJNA259243	GSM1484812: Donor11_CTCL_Rep6; Homo sapiens; OTHER	FALSE
SRR1556353	47113352	SRX685432	SRS688291	Homo sapiens	PRJNA259243	GSM1484813: Donor11_CTCL_Rep7; Homo sapiens; OTHER	FALSE
SRR1556354	14749596	SRX685433	SRS688292	Homo sapiens	PRJNA259243	GSM1484814: Donor2_Day224_Rep1; Homo sapiens; OTHER	FALSE
SRR1556355	22200507	SRX685434	SRS688293	Homo sapiens	PRJNA259243	GSM1484815: Donor2_Day224_Rep2; Homo sapiens; OTHER	FALSE
SRR1556356	3614977	SRX685435	SRS688294	Homo sapiens	PRJNA259243	GSM1484816: Donor2_Day37_Rep1; Homo sapiens; OTHER	FALSE
SRR1556357	18644589	SRX685436	SRS688295	Homo sapiens	PRJNA259243	GSM1484817: Donor20_CTCL_Rep1; Homo sapiens; OTHER	FALSE
SRR1556358	19303825	SRX685437	SRS688296	Homo sapiens	PRJNA259243	GSM1484818: Donor20_CTCL_Rep2; Homo sapiens; OTHER	FALSE
SRR1556359	18816147	SRX685438	SRS688297	Homo sapiens	PRJNA259243	GSM1484819: Donor20_CTCL_Rep3; Homo sapiens; OTHER	FALSE
SRR1556360	25187154	SRX685439	SRS688298	Homo sapiens	PRJNA259243	GSM1484820: Donor20_CTCL_Rep4; Homo sapiens; OTHER	FALSE
SRR1556361	13317003	SRX685440	SRS688299	Homo sapiens	PRJNA259243	GSM1484821: Donor3_Day37_Rep1; Homo sapiens; OTHER	FALSE
SRR1556362	20761571	SRX685441	SRS688300	Homo sapiens	PRJNA259243	GSM1484822: Donor32_Day224_Rep1; Homo sapiens; OTHER	FALSE
SRR1556363	7690126	SRX685442	SRS688301	Homo sapiens	PRJNA259243	GSM1484823: Donor32_Day224_Rep2; Homo sapiens; OTHER	FALSE
SRR1556364	36365126	SRX685443	SRS688302	Homo sapiens	PRJNA259243	GSM1484824: Donor33_Day224_Rep1; Homo sapiens; OTHER	FALSE
SRR1556365	21532029	SRX685444	SRS688303	Homo sapiens	PRJNA259243	GSM1484825: Donor33_Day224_Rep2; Homo sapiens; OTHER	FALSE
SRR1556366	9896577	SRX685445	SRS688304	Homo sapiens	PRJNA259243	GSM1484826: Donor4_Day107_Rep1; Homo sapiens; OTHER	FALSE
SRR1556367	15239158	SRX685446	SRS688305	Homo sapiens	PRJNA259243	GSM1484827: Donor4_Day107_Rep2; Homo sapiens; OTHER	FALSE
SRR1556368	12461062	SRX685447	SRS688306	Homo sapiens	PRJNA259243	GSM1484828: Donor4_Day224_Rep1; Homo sapiens; OTHER	FALSE
SRR1556369	13231278	SRX685448	SRS688307	Homo sapiens	PRJNA259243	GSM1484829: Donor4_Day224_Rep2; Homo sapiens; OTHER	FALSE
SRR1556370	13074919	SRX685449	SRS688308	Homo sapiens	PRJNA259243	GSM1484830: Donor4_Day37_Rep1; Homo sapiens; OTHER	FALSE
SRR1556371	21636704	SRX685450	SRS688309	Homo sapiens	PRJNA259243	GSM1484831: Donor5_CTCL_Rep1; Homo sapiens; OTHER	FALSE
SRR1556372	24412166	SRX685451	SRS688310	Homo sapiens	PRJNA259243	GSM1484832: Donor5_CTCL_Rep2; Homo sapiens; OTHER	FALSE
SRR1556373	19415581	SRX685452	SRS688311	Homo sapiens	PRJNA259243	GSM1484833: Donor5_CTCL_Rep3; Homo sapiens; OTHER	FALSE
SRR1556374	16371105	SRX685453	SRS688312	Homo sapiens	PRJNA259243	GSM1484834: Donor5_CTCL_Rep4; Homo sapiens; OTHER	FALSE
SRR1556375	9075538	SRX685454	SRS688313	Homo sapiens	PRJNA259243	GSM1484835: Donor6_Day38_Rep1; Homo sapiens; OTHER	FALSE
SRR1556376	16237889	SRX685455	SRS688314	Homo sapiens	PRJNA259243	GSM1484836: Donor7_Day38_Rep1; Homo sapiens; OTHER	FALSE
SRR1556377	13381098	SRX685456	SRS688315	Homo sapiens	PRJNA259243	GSM1484837: Donor8_Day38_Rep1; Homo sapiens; OTHER	FALSE
SRR1556378	13086329	SRX685457	SRS688316	Homo sapiens	PRJNA259243	GSM1484838: Donor9_Day38_Rep1; Homo sapiens; OTHER	FALSE
SRR1556379	10167682	SRX685458	SRS688317	Homo sapiens	PRJNA259243	GSM1484839: Donor31_Day192_Rep1; Homo sapiens; OTHER	FALSE
SRR1556380	9289620	SRX685459	SRS688318	Homo sapiens	PRJNA259243	GSM1484840: Donor31_Day192_Rep2; Homo sapiens; OTHER	FALSE
SRR1660527	21064368	SRX766230	SRS750398	Mus musculus	PRJNA242521	GSM1552830: PM_ATAC-Seq; Mus musculus; OTHER	FALSE
SRR1660528	25521000	SRX766230	SRS750398	Mus musculus	PRJNA242521	GSM1552830: PM_ATAC-Seq; Mus musculus; OTHER	FALSE
SRR1779587	289465	SRX859035	SRS830613	Homo sapiens	PRJNA274006	GSM1596255: singles-H1ESC-well-1; Homo sapiens; OTHER	TRUE
SRR1779589	628598	SRX859037	SRS830615	Homo sapiens	PRJNA274006	GSM1596257: singles-H1ESC-well-3; Homo sapiens; OTHER	TRUE
SRR1779590	219032	SRX859038	SRS830616	Homo sapiens	PRJNA274006	GSM1596258: singles-H1ESC-well-4; Homo sapiens; OTHER	TRUE
SRR1779591	160434	SRX859039	SRS830617	Homo sapiens	PRJNA274006	GSM1596259: singles-H1ESC-well-5; Homo sapiens; OTHER	TRUE
SRR1779592	351708	SRX859040	SRS830618	Homo sapiens	PRJNA274006	GSM1596260: singles-H1ESC-well-6; Homo sapiens; OTHER	TRUE
SRR1779593	481039	SRX859041	SRS830619	Homo sapiens	PRJNA274006	GSM1596261: singles-H1ESC-well-7; Homo sapiens; OTHER	TRUE
SRR1779594	293158	SRX859042	SRS830620	Homo sapiens	PRJNA274006	GSM1596262: singles-H1ESC-well-8; Homo sapiens; OTHER	TRUE
SRR1779596	210252	SRX859044	SRS830622	Homo sapiens	PRJNA274006	GSM1596264: singles-H1ESC-well-10; Homo sapiens; OTHER	TRUE
SRR1779598	182904	SRX859046	SRS830624	Homo sapiens	PRJNA274006	GSM1596266: singles-H1ESC-well-12; Homo sapiens; OTHER	TRUE
SRR1779599	488058	SRX859047	SRS830625	Homo sapiens	PRJNA274006	GSM1596267: singles-H1ESC-well-13; Homo sapiens; OTHER	TRUE
SRR1779600	533209	SRX859048	SRS830627	Homo sapiens	PRJNA274006	GSM1596268: singles-H1ESC-well-14; Homo sapiens; OTHER	TRUE
SRR1779601	206459	SRX859049	SRS830626	Homo sapiens	PRJNA274006	GSM1596269: singles-H1ESC-well-15; Homo sapiens; OTHER	TRUE
SRR1779602	552721	SRX859050	SRS830628	Homo sapiens	PRJNA274006	GSM1596270: singles-H1ESC-well-16; Homo sapiens; OTHER	TRUE
SRR1779603	371221	SRX859051	SRS830631	Homo sapiens	PRJNA274006	GSM1596271: singles-H1ESC-well-17; Homo sapiens; OTHER	TRUE
SRR1779604	329018	SRX859052	SRS830629	Homo sapiens	PRJNA274006	GSM1596272: singles-H1ESC-well-18; Homo sapiens; OTHER	TRUE
SRR1779605	209871	SRX859053	SRS830630	Homo sapiens	PRJNA274006	GSM1596273: singles-H1ESC-well-19; Homo sapiens; OTHER	TRUE
SRR1779606	251317	SRX859054	SRS830632	Homo sapiens	PRJNA274006	GSM1596274: singles-H1ESC-well-20; Homo sapiens; OTHER	TRUE
SRR1779607	497358	SRX859055	SRS830633	Homo sapiens	PRJNA274006	GSM1596275: singles-H1ESC-well-21; Homo sapiens; OTHER	TRUE
SRR1779608	358474	SRX859056	SRS830634	Homo sapiens	PRJNA274006	GSM1596276: singles-H1ESC-well-22; Homo sapiens; OTHER	TRUE
SRR1779609	374888	SRX859057	SRS830637	Homo sapiens	PRJNA274006	GSM1596277: singles-H1ESC-well-23; Homo sapiens; OTHER	TRUE
SRR1779610	406025	SRX859058	SRS830635	Homo sapiens	PRJNA274006	GSM1596278: singles-H1ESC-well-24; Homo sapiens; OTHER	TRUE
SRR1779611	513525	SRX859059	SRS830638	Homo sapiens	PRJNA274006	GSM1596279: singles-H1ESC-well-25; Homo sapiens; OTHER	TRUE
SRR1779612	474516	SRX859060	SRS830636	Homo sapiens	PRJNA274006	GSM1596280: singles-H1ESC-well-26; Homo sapiens; OTHER	TRUE
SRR1779613	383802	SRX859061	SRS830639	Homo sapiens	PRJNA274006	GSM1596281: singles-H1ESC-well-27; Homo sapiens; OTHER	TRUE
SRR1779614	522695	SRX859062	SRS830640	Homo sapiens	PRJNA274006	GSM1596282: singles-H1ESC-well-28; Homo sapiens; OTHER	TRUE
SRR1779615	521817	SRX859063	SRS830641	Homo sapiens	PRJNA274006	GSM1596283: singles-H1ESC-well-29; Homo sapiens; OTHER	TRUE
SRR1779616	362007	SRX859064	SRS830642	Homo sapiens	PRJNA274006	GSM1596284: singles-H1ESC-well-30; Homo sapiens; OTHER	TRUE
SRR1779617	599203	SRX859065	SRS830648	Homo sapiens	PRJNA274006	GSM1596285: singles-H1ESC-well-31; Homo sapiens; OTHER	TRUE
SRR1779618	379613	SRX859066	SRS830643	Homo sapiens	PRJNA274006	GSM1596286: singles-H1ESC-well-32; Homo sapiens; OTHER	TRUE
SRR1779619	274481	SRX859067	SRS830644	Homo sapiens	PRJNA274006	GSM1596287: singles-H1ESC-well-33; Homo sapiens; OTHER	TRUE
SRR1779620	476400	SRX859068	SRS830650	Homo sapiens	PRJNA274006	GSM1596288: singles-H1ESC-well-34; Homo sapiens; OTHER	TRUE
SRR1779621	339280	SRX859069	SRS830645	Homo sapiens	PRJNA274006	GSM1596289: singles-H1ESC-well-35; Homo sapiens; OTHER	TRUE
SRR1779622	274754	SRX859070	SRS830646	Homo sapiens	PRJNA274006	GSM1596290: singles-H1ESC-well-36; Homo sapiens; OTHER	TRUE
SRR1779623	1003610	SRX859071	SRS830651	Homo sapiens	PRJNA274006	GSM1596291: singles-H1ESC-well-37; Homo sapiens; OTHER	TRUE
SRR1779624	404557	SRX859072	SRS830647	Homo sapiens	PRJNA274006	GSM1596292: singles-H1ESC-well-38; Homo sapiens; OTHER	TRUE
SRR1779625	548173	SRX859073	SRS830649	Homo sapiens	PRJNA274006	GSM1596293: singles-H1ESC-well-39; Homo sapiens; OTHER	TRUE
SRR1779626	529426	SRX859074	SRS830652	Homo sapiens	PRJNA274006	GSM1596294: singles-H1ESC-well-40; Homo sapiens; OTHER	TRUE
SRR1779627	446988	SRX859075	SRS830653	Homo sapiens	PRJNA274006	GSM1596295: singles-H1ESC-well-41; Homo sapiens; OTHER	TRUE
SRR1779628	413929	SRX859076	SRS830654	Homo sapiens	PRJNA274006	GSM1596296: singles-H1ESC-well-42; Homo sapiens; OTHER	TRUE
SRR1779629	558743	SRX859077	SRS830655	Homo sapiens	PRJNA274006	GSM1596297: singles-H1ESC-well-43; Homo sapiens; OTHER	TRUE
SRR1779630	289837	SRX859078	SRS830656	Homo sapiens	PRJNA274006	GSM1596298: singles-H1ESC-well-44; Homo sapiens; OTHER	TRUE
SRR1779631	410830	SRX859079	SRS830657	Homo sapiens	PRJNA274006	GSM1596299: singles-H1ESC-well-45; Homo sapiens; OTHER	TRUE
SRR1779632	192188	SRX859080	SRS830658	Homo sapiens	PRJNA274006	GSM1596300: singles-H1ESC-well-46; Homo sapiens; OTHER	TRUE
SRR1779633	444432	SRX859081	SRS830659	Homo sapiens	PRJNA274006	GSM1596301: singles-H1ESC-well-47; Homo sapiens; OTHER	TRUE
SRR1779634	477863	SRX859082	SRS830660	Homo sapiens	PRJNA274006	GSM1596302: singles-H1ESC-well-48; Homo sapiens; OTHER	TRUE
SRR1779635	768574	SRX859083	SRS830661	Homo sapiens	PRJNA274006	GSM1596303: singles-H1ESC-well-49; Homo sapiens; OTHER	TRUE
SRR1779636	239279	SRX859084	SRS830662	Homo sapiens	PRJNA274006	GSM1596304: singles-H1ESC-well-50; Homo sapiens; OTHER	TRUE
SRR1779637	411112	SRX859085	SRS830663	Homo sapiens	PRJNA274006	GSM1596305: singles-H1ESC-well-51; Homo sapiens; OTHER	TRUE
SRR1779638	490361	SRX859086	SRS830664	Homo sapiens	PRJNA274006	GSM1596306: singles-H1ESC-well-52; Homo sapiens; OTHER	TRUE
SRR1779639	425185	SRX859087	SRS830665	Homo sapiens	PRJNA274006	GSM1596307: singles-H1ESC-well-53; Homo sapiens; OTHER	TRUE
SRR1779640	189412	SRX859088	SRS830666	Homo sapiens	PRJNA274006	GSM1596308: singles-H1ESC-well-54; Homo sapiens; OTHER	TRUE
SRR1779641	104095	SRX859089	SRS830667	Homo sapiens	PRJNA274006	GSM1596309: singles-H1ESC-well-55; Homo sapiens; OTHER	TRUE
