description	tn5	experiment	replicate	library
GM12878_ATAC_ex1_5X_rep1	5X	ex1	rep1	90470
GM12878_ATAC_ex1_2X_rep1	2X	ex1	rep1	90471
GM12878_ATAC_ex1_1_5X_rep1	1.5X	ex1	rep1	90472
GM12878_ATAC_ex1_1X_rep1	1X	ex1	rep1	90473
GM12878_ATAC_ex1_0_66X_rep1	0.66X	ex1	rep1	90474
GM12878_ATAC_ex1_0_5X_rep1	0.5X	ex1	rep1	90475
GM12878_ATAC_ex1_0_2X_rep1	0.2X	ex1	rep1	90476
GM12878_ATAC_ex1_5X_rep2	5X	ex1	rep2	90477
GM12878_ATAC_ex1_2X_rep2	2X	ex1	rep2	90478
GM12878_ATAC_ex1_1_5X_rep2	1.5X	ex1	rep2	90479
GM12878_ATAC_ex1_1X_rep2	1X	ex1	rep2	90480
GM12878_ATAC_ex1_0_66X_rep2	0.66X	ex1	rep2	90481
GM12878_ATAC_ex1_0_5X_rep2	0.5X	ex1	rep2	90482
GM12878_ATAC_ex1_0_2X_rep2	0.2X	ex1	rep2	90483
GM12878_ATAC_ex1_5X_rep4	5X	ex1	rep3	90491
GM12878_ATAC_ex1_2X_rep4	2X	ex1	rep3	90492
GM12878_ATAC_ex1_1_5X_rep4	1.5X	ex1	rep3	90493
GM12878_ATAC_ex1_1X_rep4	1X	ex1	rep3	90494
GM12878_ATAC_ex1_0_66X_rep4	0.66X	ex1	rep3	90495
GM12878_ATAC_ex1_0_5X_rep4	0.5X	ex1	rep3	90496
GM12878_ATAC_ex1_0_2X_rep4	0.2X	ex1	rep3	90497
GM12878_ATAC_ex2_5X_rep2	5X	ex2	rep4	90505
GM12878_ATAC_ex2_2X_rep2	2X	ex2	rep4	90506
GM12878_ATAC_ex2_1_5X_rep2	1.5X	ex2	rep4	90507
GM12878_ATAC_ex2_1X_rep2	1X	ex2	rep4	90508
GM12878_ATAC_ex2_0_66X_rep2	0.66X	ex2	rep4	90509
GM12878_ATAC_ex2_0_5X_rep2	0.5X	ex2	rep4	90510
GM12878_ATAC_ex2_0_2X_rep2	0.2X	ex2	rep4	90511
GM12878_ATAC_ex2_5X_rep3	5X	ex2	rep5	90512
GM12878_ATAC_ex2_2X_rep3	2X	ex2	rep5	90513
GM12878_ATAC_ex2_1_5X_rep3	1.5X	ex2	rep5	90514
GM12878_ATAC_ex2_1X_rep3	1X	ex2	rep5	90515
GM12878_ATAC_ex2_0_66X_rep3	0.66X	ex2	rep5	90516
GM12878_ATAC_ex2_0_5X_rep3	0.5X	ex2	rep5	90517
GM12878_ATAC_ex2_0_2X_rep3	0.2X	ex2	rep5	90518
GM12878_ATAC_ex2_5X_rep4	5X	ex2	rep6	90519
GM12878_ATAC_ex2_2X_rep4	2X	ex2	rep6	90520
GM12878_ATAC_ex2_1_5X_rep4	1.5X	ex2	rep6	90521
GM12878_ATAC_ex2_1X_rep4	1X	ex2	rep6	90522
GM12878_ATAC_ex2_0_66X_rep4	0.66X	ex2	rep6	90523
GM12878_ATAC_ex2_0_5X_rep4	0.5X	ex2	rep6	90524
GM12878_ATAC_ex2_0_2X_rep4	0.2X	ex2	rep6	90525
